origin|carrier|num_flights|avg_dep_delay|avg_arr_delay|cancel_rate|avg_dep_airport|dep_diff|rank
AUS|9E|565|15.2619|13.9239|0.0035|14.4739|0.788|8
AUS|G4|1631|18.4991|15.347|0.0159|14.4739|4.0252|9
AUS|NK|1664|18.8654|11.6298|0.0234|14.4739|4.3915|10
AUS|AA|20647|21.4665|17.9828|0.0109|14.4739|6.9926|11
AUS|OO|5516|21.62|16.9074|0.0033|14.4739|7.1461|12
AUS|HA|248|22.4274|27.4637|0.0081|14.4739|7.9535|13
AUS|F9|1043|24.9051|20.6059|0.0173|14.4739|10.4312|14
AUS|B6|1183|30.8047|21.5748|0.011|14.4739|16.3308|15
AVL|YX|1698|7.338|1.3875|0.0377|15.527|-8.189|1
AVL|UA|281|10.1815|5.0783|0.0356|15.527|-5.3455|2
AVL|OH|3050|10.6626|9.9882|0.0203|15.527|-4.8644|3
AVL|9E|984|11.8496|3.5203|0.0213|15.527|-3.6774|4
AVL|DL|3307|12.4194|3.7871|0.0127|15.527|-3.1076|5
AVL|OO|1085|15.3438|12.577|0.0304|15.527|-0.1832|6
AVL|G4|4931|17.4078|14.1213|0.0312|15.527|1.8808|7
AVL|MQ|1779|21.8814|19.1023|0.0264|15.527|6.3544|8
AVL|B6|122|25.0164|23.3689|0.0082|15.527|9.4894|9
AVL|AA|722|46.831|40.7133|0.0499|15.527|31.304|10
AVP|MQ|702|15.2607|11.2863|0.01|17.6223|-2.3616|1
AVP|OH|352|16.2585|2.4489|0.0142|17.6223|-1.3638|2
AVP|AA|1237|17.1722|11.5594|0.0113|17.6223|-0.4501|3
AVP|OO|63|60.3968|49.9524|0.0476|17.6223|42.7745|4
AZA|G4|8796|4.5518|-0.7949|0.0066|4.5518|0.0|1
AZO|9E|28|6.0714|0.5|0.0|10.9846|-4.9132|1
AZO|OO|1464|11.0786|5.6544|0.0137|10.9846|0.094|2
BDL|YX|747|-1.4458|-7.4538|0.0027|12.2929|-13.7387|1
BDL|MQ|862|4.7691|1.6601|0.0093|12.2929|-7.5238|2
BDL|UA|3261|6.3511|2.0693|0.0123|12.2929|-5.9418|3
BDL|DL|5981|7.8577|0.2169|0.004|12.2929|-4.4352|4
BDL|9E|528|8.25|2.6799|0.0265|12.2929|-4.0429|5
BDL|NK|868|9.932|6.4493|0.015|12.2929|-2.3609|6
BDL|WN|6177|10.7275|2.8247|0.0058|12.2929|-1.5654|7
BDL|B6|5037|14.84|7.5354|0.0105|12.2929|2.5471|8
BDL|AA|5979|15.1234|9.9055|0.0154|12.2929|2.8305|9
BDL|OH|2248|16.4613|11.2077|0.0191|12.2929|4.1684|10
BDL|OO|104|23.3654|24.0577|0.0192|12.2929|11.0725|11
BDL|F9|1541|35.8021|30.7631|0.0247|12.2929|23.5092|12
BET|AS|1086|8.1851|11.8545|0.0101|8.1851|0.0|1
BFF|OO|927|11.2654|10.2384|0.0291|11.2654|0.0|1
BFL|MQ|496|1.8004|-3.8911|0.002|7.9589|-6.1585|1
BFL|OO|2102|4.7726|-1.6261|0.0043|7.9589|-3.1863|2
BFL|AA|1388|14.9849|10.6138|0.0094|7.9589|7.026|3
BGM|9E|565|15.5699|9.9841|0.0283|15.5699|0.0|1
BGR|9E|1895|2.7578|-5.9646|0.0327|11.9713|-9.2135|1
BGR|OH|1233|9.0187|-1.1946|0.0284|11.9713|-2.9526|2
BGR|YX|1533|10.5577|3.9302|0.0346|11.9713|-1.4136|3
BGR|MQ|367|10.861|10.0082|0.0136|11.9713|-1.1103|4
BGR|G4|794|19.5542|4.8073|0.0302|11.9713|7.5829|5
BGR|OO|250|21.56|20.784|0.008|11.9713|9.5887|6
BGR|AA|888|29.152|28.0428|0.0158|11.9713|17.1807|7
BHM|UA|4|-4.25|-11.5|0.0|11.0796|-15.3296|1
BHM|YX|588|-1.7075|-4.0408|0.0085|11.0796|-12.7871|2
BHM|DL|4315|5.8746|0.7205|0.0028|11.0796|-5.205|3
BHM|9E|1632|6.3732|-0.9528|0.0374|11.0796|-4.7064|4
BHM|MQ|3666|9.8715|6.35|0.0106|11.0796|-1.2081|5
BHM|WN|6411|12.0318|7.0978|0.0069|11.0796|0.9522|6
BHM|NK|110|12.0364|13.8727|0.0|11.0796|0.9568|7
BHM|OO|2430|13.7391|9.6658|0.0066|11.0796|2.6595|8
BHM|OH|5917|14.6772|10.7081|0.0142|11.0796|3.5976|9
BHM|AA|571|25.4203|23.4098|0.0158|11.0796|14.3407|10
BIH|OO|408|16.0809|6.299|0.0784|16.0809|0.0|1
BIL|UA|1083|1.4589|-1.6205|0.0055|6.5396|-5.0807|1
BIL|OO|1995|1.9223|-0.9393|0.007|6.5396|-4.6173|2
BIL|DL|1186|5.6231|2.9519|0.0126|6.5396|-0.9165|3
BIL|MQ|1370|13.3073|11.0701|0.0044|6.5396|6.7677|4
BIL|G4|560|18.1982|17.4464|0.0196|6.5396|11.6586|5
BIS|9E|16|3.8125|21.0625|0.0|10.8125|-7.0|1
BIS|DL|939|4.1363|-2.6603|0.0053|10.8125|-6.6762|2
BIS|MQ|907|9.6703|6.6229|0.0022|10.8125|-1.1422|3
BIS|G4|819|9.8852|0.0098|0.0134|10.8125|-0.9273|4
BIS|OO|3288|13.2993|7.3598|0.0085|10.8125|2.4868|5
BJI|OO|1137|17.6675|11.9129|0.0079|17.6675|0.0|1
BLI|G4|1442|0.7607|-3.4813|0.0049|6.4184|-5.6577|1
BLI|WN|924|8.408|1.289|0.0065|6.4184|1.9896|2
BLI|OO|1403|10.923|12.0257|0.0078|6.4184|4.5046|3
BLV|G4|1655|19.7631|13.6822|0.0236|19.7631|0.0|1
BMI|MQ|1086|7.4208|1.6013|0.0157|10.476|-3.0552|1
BMI|9E|1058|8.1796|1.5132|0.0104|10.476|-2.2964|2
BMI|F9|94|8.7234|15.4787|0.0319|10.476|-1.7526|3
