carrier|origin|month|num_flights|min_arr_delay|max_arr_delay|avg_arr_delay|cancel_rate|months_active
9E|ABE|1|110|-44.0|438.0|20.35|0.0|1,2,3,4,5,6,7,8,9,10,11,12|
9E|ABE|2|118|-42.0|113.0|-11.85|0.0085|1,2,3,4,5,6,7,8,9,10,11,12|
9E|ABE|3|139|-47.0|309.0|-9.57|0.0|1,2,3,4,5,6,7,8,9,10,11,12|
9E|ABE|4|150|-44.0|438.0|-2.32|0.0|1,2,3,4,5,6,7,8,9,10,11,12|
9E|ABE|5|133|-39.0|182.0|0.89|0.015|1,2,3,4,5,6,7,8,9,10,11,12|
9E|ABE|6|132|-29.0|169.0|0.55|0.0152|1,2,3,4,5,6,7,8,9,10,11,12|
9E|ABE|7|126|-33.0|245.0|9.57|0.0317|1,2,3,4,5,6,7,8,9,10,11,12|
9E|ABE|8|136|-31.0|348.0|1.92|0.0221|1,2,3,4,5,6,7,8,9,10,11,12|
9E|ABE|9|125|-33.0|144.0|-8.3|0.0|1,2,3,4,5,6,7,8,9,10,11,12|
9E|ABE|10|124|-34.0|575.0|-3.79|0.0|1,2,3,4,5,6,7,8,9,10,11,12|
