origin|month|delay_band|num_flights|avg_dep_delay|avg_arr_delay
ABR|5|high|6|140.5|130.67
ABR|5|low|53|-4.53|-10.7
ABR|5|medium|3|39.33|36.0
ABR|6|high|7|307.57|308.71
ABR|6|low|42|-3.38|1.38
ABR|6|medium|11|37.82|49.55
ABR|7|high|7|132.29|138.29
ABR|7|low|49|-1.86|-10.18
ABR|7|medium|6|35.67|32.67
ABR|8|high|6|235.17|249.33
ABR|8|low|50|-3.28|-8.62
ABR|8|medium|6|24.5|35.33
ABR|9|high|3|140.33|132.33
ABR|9|low|57|-5.35|-16.53
ABR|10|high|6|193.5|182.33
ABR|10|low|50|-4.54|-16.44
ABR|10|medium|6|42.5|29.67
ABR|11|high|3|106.0|90.0
ABR|11|low|51|-4.59|-11.45
ABR|11|medium|5|25.8|17.2
ABR|12|high|10|356.8|348.1
ABR|12|low|41|-4.32|-8.1
ABR|12|medium|8|34.13|25.5
ABR|12|unknown|1||
ABY|1|high|7|304.86|294.14
ABY|1|low|50|-4.44|-10.1
ABY|1|medium|5|26.6|18.6
ABY|2|high|6|199.33|194.83
ABY|2|low|45|-5.71|-7.69
ABY|2|medium|7|27.71|15.57
ABY|3|high|4|140.5|131.0
ABY|3|low|56|-5.43|-9.23
ABY|3|medium|2|43.0|39.0
ABY|4|high|4|130.25|137.0
ABY|4|low|49|-6.27|-3.1
ABY|4|medium|7|35.43|39.0
ABY|5|high|8|118.75|115.5
ABY|5|low|47|-6.02|-3.6
ABY|5|medium|6|39.0|39.83
ABY|5|unknown|1||
ABY|6|high|4|72.0|66.25
ABY|6|low|50|-5.74|-6.76
ABY|6|medium|5|45.6|40.0
ABY|6|unknown|1||
ABY|7|high|13|186.23|188.0
ABY|7|low|39|-5.95|3.29
ABY|7|medium|7|29.43|27.43
ABY|7|unknown|3||
ABY|8|high|9|266.44|261.44
ABY|8|low|44|-4.55|-5.86
ABY|8|medium|8|29.5|21.13
ABY|8|unknown|1||
ABY|9|high|5|101.6|95.8
ABY|9|low|48|-6.85|-6.67
ABY|9|medium|6|40.17|41.5
ABY|9|unknown|1||
ABY|10|high|1|130.0|117.0
ABY|10|low|59|-6.73|-8.37
ABY|10|medium|2|55.5|42.5
ABY|11|high|3|190.0|195.0
ABY|11|low|69|-7.81|-7.1
ABY|11|medium|4|38.0|34.75
ABY|12|high|15|195.67|193.87
ABY|12|low|57|-7.19|-14.26
ABY|12|medium|6|26.17|22.5
ACK|5|high|15|160.67|162.64
ACK|5|low|96|-10.22|-10.72
ACK|5|medium|10|33.4|33.2
ACK|5|unknown|6||
ACK|6|high|37|174.27|178.14
ACK|6|low|261|-8.56|-13.29
ACK|6|medium|33|36.27|39.27
ACK|6|unknown|13||
ACK|7|high|51|137.04|140.27
ACK|7|low|338|-7.8|-11.22
ACK|7|medium|64|33.41|32.2
ACK|7|unknown|19||
ACK|8|high|47|179.66|181.4
ACK|8|low|352|-5.74|-7.06
ACK|8|medium|37|35.78|35.0
ACK|8|unknown|36||
ACK|9|high|9|238.0|114.5
ACK|9|low|155|-9.64|-11.55
ACK|9|medium|11|37.55|40.0
ACK|10|high|3|168.0|162.0
ACK|10|low|67|-9.9|-13.55
ACK|10|medium|4|34.5|28.5
ACT|1|high|10|272.8|268.8
ACT|1|low|63|-6.46|-8.65
ACT|1|medium|12|36.42|34.25
ACT|1|unknown|5||
ACT|2|high|4|82.5|70.25
ACT|2|low|80|-4.51|-5.96
ACT|2|medium|3|31.0|36.0
ACT|3|high|4|75.25|69.75
ACT|3|low|79|-3.11|-2.57
ACT|3|medium|7|29.57|29.43
ACT|3|unknown|3||
ACT|4|high|6|171.83|179.67
ACT|4|low|70|-3.81|-3.81
ACT|4|medium|10|33.8|30.7
ACT|4|unknown|4||
ACT|5|high|11|187.64|186.91
ACT|5|low|68|-6.18|-5.13
ACT|5|medium|7|34.29|31.14
ACT|5|unknown|4||
ACT|6|high|17|149.94|150.88
ACT|6|low|57|-4.09|-3.67
ACT|6|medium|15|34.27|29.67
ACT|6|unknown|1||
ACT|7|high|10|139.0|143.3
ACT|7|low|74|-6.15|-4.49
ACT|7|medium|8|45.75|41.5
ACT|8|high|5|103.8|107.4
ACT|8|low|75|-4.36|-1.88
ACT|8|medium|11|36.73|40.73
ACT|8|unknown|1||
ACT|9|high|4|174.75|166.5
ACT|9|low|75|-4.89|-5.84
ACT|9|medium|11|27.09|29.64
ACT|10|high|18|119.56|115.0
ACT|10|low|61|-6.1|-7.33
ACT|10|medium|12|33.58|32.5
ACT|11|high|4|157.5|153.75
ACT|11|low|72|-5.07|-6.74
ACT|11|medium|7|39.86|36.71
ACT|11|unknown|2||
ACT|12|high|16|135.06|136.63
ACT|12|low|58|-4.9|-3.4
ACT|12|medium|13|33.46|34.46
ACT|12|unknown|3||
ACV|1|high|15|195.13|190.33
ACV|1|low|114|-5.46|-10.39
ACV|1|medium|16|32.88|27.31
ACV|1|unknown|3||
ACV|2|high|14|282.79|281.07
ACV|2|low|96|-5.95|-5.69
ACV|2|medium|22|37.95|40.18
ACV|2|unknown|3||
ACV|3|high|13|205.92|202.46
ACV|3|low|103|-4.86|-7.82
ACV|3|medium|29|32.1|31.0
ACV|3|unknown|3||
ACV|4|high|12|146.5|145.58
ACV|4|low|94|-4.16|-7.59
ACV|4|medium|14|37.07|48.36
ACV|5|high|12|168.17|174.42
ACV|5|low|96|-3.8|-7.79
ACV|5|medium|13|29.15|30.23
ACV|5|unknown|1||
ACV|6|high|9|191.11|185.78
ACV|6|low|95|-4.14|-7.82
ACV|6|medium|10|34.3|39.0
ACV|7|high|10|332.9|337.8
ACV|7|low|119|-4.97|-6.76
ACV|7|medium|11|35.18|38.91
ACV|7|unknown|1||
ACV|8|high|9|184.44|191.11
ACV|8|low|114|-4.05|-4.07
ACV|8|medium|16|28.94|30.63
ACV|8|unknown|4||
ACV|9|high|19|285.79|283.37
ACV|9|low|118|-5.36|-11.02
ACV|9|medium|8|34.88|31.38
ACV|9|unknown|5||
ACV|10|high|20|234.05|234.8
ACV|10|low|147|-5.35|-7.61
ACV|10|medium|11|32.91|30.55
ACV|10|unknown|1||
ACV|11|high|18|105.06|107.11
ACV|11|low|135|-5.25|-6.07
ACV|11|medium|16|32.69|29.88
ACV|11|unknown|6||
ACV|12|high|7|169.57|164.29
ACV|12|low|137|-5.77|-6.78
ACV|12|medium|11|32.18|39.91
ACY|1|high|9|138.78|134.56
ACY|1|low|224|-5.6|-4.85
ACY|1|medium|24|29.38|30.88
ACY|1|unknown|5||
ACY|2|high|16|136.0|134.88
ACY|2|low|228|-5.04|-11.72
ACY|2|medium|37|34.32|25.43
ACY|2|unknown|1||
ACY|3|high|34|156.47|157.5
ACY|3|low|213|-4.62|-9.36
ACY|3|medium|71|33.18|31.79
ACY|3|unknown|9||
ACY|4|high|15|132.6|130.53
ACY|4|low|257|-6.61|-16.86
ACY|4|medium|25|34.48|28.96
ACY|4|unknown|2||
ACY|5|high|13|135.54|134.46
ACY|5|low|234|-4.97|-11.55
ACY|5|medium|35|30.91|24.94
ACY|5|unknown|3||
ACY|6|high|29|135.41|129.86
ACY|6|low|183|-4.52|-14.98
ACY|6|medium|28|31.46|23.14
ACY|6|unknown|4||
ACY|7|high|17|181.18|171.47
ACY|7|low|168|-3.44|-13.07
ACY|7|medium|37|35.84|27.49
ACY|7|unknown|9||
ACY|8|high|27|137.96|136.0
ACY|8|low|208|-3.59|-9.22
ACY|8|medium|38|31.47|27.79
ACY|8|unknown|7||
ACY|9|high|8|114.0|113.75
ACY|9|low|170|-5.73|-13.92
ACY|9|medium|16|28.94|23.38
ACY|9|unknown|3||
ACY|10|high|6|112.5|97.83
ACY|10|low|184|-5.67|-15.45
ACY|10|medium|13|37.62|27.46
ACY|10|unknown|9||
ACY|11|high|6|196.5|179.17
ACY|11|low|217|-7.74|-21.13
ACY|11|medium|16|34.38|20.25
ACY|11|unknown|2||
ACY|12|high|17|98.94|89.29
ACY|12|low|147|-6.25|-15.26
ACY|12|medium|25|31.6|23.76
ACY|12|unknown|1||
ADK|1|low|4|-18.25|-10.75
ADK|1|medium|2|29.5|42.0
ADK|1|unknown|3||
ADK|2|low|7|-42.14|-39.71
ADK|2|unknown|1||
ADK|3|high|1|103.0|103.0
ADK|3|low|8|-42.88|-40.63
ADK|4|high|1|225.0|217.0
ADK|4|low|5|-22.0|-26.4
ADK|4|medium|1|58.0|53.0
ADK|4|unknown|1||
ADK|5|low|7|-33.43|-42.57
ADK|5|medium|2|22.0|17.0
ADK|6|low|8|-22.75|-18.25
ADK|6|unknown|1||
ADK|7|low|7|-7.0|-9.43
ADK|7|medium|2|37.5|36.5
ADK|8|high|1|170.0|135.0
ADK|8|low|6|1.17|-0.67
ADK|8|medium|2|49.0|33.5
ADK|9|high|1|70.0|73.0
ADK|9|low|5|-0.8|-7.6
ADK|9|medium|2|31.0|16.5
ADK|10|low|7|-14.86|-18.14
ADK|10|medium|1|29.0|16.0
ADK|10|unknown|1||
ADK|11|high|1|61.0|73.0
ADK|11|low|7|-13.43|-5.0
ADK|11|unknown|1||
ADK|12|low|8|-19.38|-15.63
ADQ|1|high|8|92.38|83.75
ADQ|1|low|37|-13.78|-16.86
