origin|month|delay_band|num_flights|avg_dep|avg_arr|top_cause_1|top_cause_2|top_cause_3
ABQ|9|high|11|144.27|146.27|carrier|late_aircraft|nas
ABQ|9|low|166|-3.97|-10.48|carrier|late_aircraft|nas
ABQ|9|medium|20|31.3|25.85|carrier|late_aircraft|nas
ABQ|10|high|8|130.0|126.75|late_aircraft|carrier|security
ABQ|10|low|222|-2.91|-8.35|late_aircraft|carrier|security
ABQ|10|medium|22|30.36|23.0|late_aircraft|carrier|security
ABQ|11|high|9|177.56|176.33|weather|late_aircraft|carrier
ABQ|11|low|173|-2.94|-6.45|weather|late_aircraft|carrier
ABQ|11|medium|15|24.93|21.13|weather|late_aircraft|carrier
ABQ|12|high|8|145.88|138.38|late_aircraft|weather|carrier
ABQ|12|low|144|-2.26|-9.71|late_aircraft|weather|carrier
ABQ|12|medium|23|33.43|22.43|late_aircraft|weather|carrier
ABR|1|high|1|83.0|91.0|carrier|nas|none
ABR|1|low|7|-4.71|-19.0|carrier|nas|none
ABR|2|low|5|-4.2|-18.6|none|none|none
ABR|3|low|3|-1.33|-27.67|none|none|none
ABR|3|medium|1|28.0|12.0|none|none|none
ABR|4|low|6|-4.83|-17.17|none|none|none
ABR|5|low|3|-4.0|-9.33|none|none|none
ABR|6|high|1|888.0|870.0|carrier|weather|none
ABR|6|low|5|-4.6|-0.4|carrier|weather|none
ABR|6|medium|3|31.0|25.67|carrier|weather|none
ABR|7|high|2|70.0|76.5|carrier|nas|none
ABR|7|low|4|-0.75|-15.25|carrier|nas|none
ABR|8|high|1|599.0|596.0|carrier|none|none
ABR|8|low|6|-3.67|-13.33|carrier|none|none
ABR|9|low|6|-5.33|-18.5|none|none|none
ABR|10|low|3|-4.0|-20.67|none|none|none
ABR|10|medium|1|16.0|9.0|none|none|none
ABR|11|low|2|-1.0|3.5|none|none|none
ABR|12|high|1|290.0|280.0|carrier|none|none
ABR|12|low|2|-4.5|3.0|carrier|none|none
ABY|1|low|6|-5.5|-8.5|none|none|none
ABY|2|high|1|74.0|68.0|weather|carrier|none
ABY|2|low|5|-6.2|-3.4|weather|carrier|none
ABY|2|medium|1|41.0|33.0|weather|carrier|none
ABY|3|low|5|-4.8|-12.2|none|none|none
ABY|4|low|5|-3.6|-2.6|none|none|none
ABY|5|low|1|-10.0|-17.0|none|none|none
ABY|6|low|2|-7.5|-22.5|carrier|none|none
ABY|6|medium|1|47.0|38.0|carrier|none|none
ABY|7|high|1|348.0|333.0|carrier|none|none
ABY|7|low|5|-6.4|0.6|carrier|none|none
ABY|7|medium|2|43.5|41.0|carrier|none|none
ABY|8|high|1|203.0|193.0|carrier|none|none
ABY|8|low|7|-3.57|-8.29|carrier|none|none
ABY|8|medium|1|15.0|8.0|carrier|none|none
ABY|9|low|3|-5.33|-10.33|none|none|none
ABY|10|low|4|-9.5|-12.0|none|none|none
ABY|11|high|2|201.5|207.0|carrier|weather|nas
ABY|11|low|9|-6.11|-2.33|carrier|weather|nas
ABY|11|medium|2|44.0|36.5|carrier|weather|nas
ABY|12|low|9|-4.0|-7.56|late_aircraft|carrier|nas
ABY|12|medium|2|27.5|28.0|late_aircraft|carrier|nas
ACK|5|high|2|110.5|111.5|nas|late_aircraft|none
ACK|5|low|10|-11.3|-9.3|nas|late_aircraft|none
ACK|5|medium|1|42.0|35.0|nas|late_aircraft|none
ACK|6|high|1|189.0|210.0|late_aircraft|nas|carrier
ACK|6|low|27|-8.74|-13.74|late_aircraft|nas|carrier
ACK|6|medium|4|36.0|38.75|late_aircraft|nas|carrier
ACK|7|high|3|168.33|163.67|carrier|late_aircraft|nas
ACK|7|low|32|-6.94|-12.97|carrier|late_aircraft|nas
ACK|7|medium|5|31.4|34.8|carrier|late_aircraft|nas
ACK|8|high|7|142.86|143.71|late_aircraft|carrier|nas
ACK|8|low|37|-6.68|-6.49|late_aircraft|carrier|nas
ACK|8|medium|3|35.67|31.67|late_aircraft|carrier|nas
ACK|9|low|17|-10.41|-14.18|nas|late_aircraft|carrier
ACK|9|medium|2|41.5|30.0|nas|late_aircraft|carrier
ACK|10|low|7|-10.57|-18.29|late_aircraft|none|none
ACK|10|medium|1|57.0|48.0|late_aircraft|none|none
ACT|1|low|2|-9.0|-9.0|carrier|weather|late_aircraft
ACT|1|medium|3|50.67|48.67|carrier|weather|late_aircraft
ACT|2|low|4|-4.0|3.0|nas|none|none
ACT|3|low|9|-1.44|-0.11|nas|late_aircraft|carrier
ACT|3|medium|1|19.0|2.0|nas|late_aircraft|carrier
ACT|4|low|6|-7.67|-0.33|carrier|nas|none
ACT|4|medium|1|53.0|50.0|carrier|nas|none
ACT|5|high|1|90.0|87.0|weather|none|none
ACT|5|low|11|-4.91|-5.36|weather|none|none
ACT|6|high|1|221.0|218.0|carrier|none|none
ACT|6|low|6|-1.17|-2.83|carrier|none|none
ACT|7|low|10|-6.7|-3.3|carrier|nas|late_aircraft
ACT|7|medium|2|28.5|22.5|carrier|nas|late_aircraft
ACT|8|high|1|70.0|77.0|late_aircraft|nas|none
ACT|8|low|10|-3.3|-4.3|late_aircraft|nas|none
ACT|9|high|1|168.0|146.0|carrier|none|none
ACT|9|low|14|-5.07|-4.21|carrier|none|none
ACT|10|high|1|74.0|78.0|carrier|late_aircraft|nas
ACT|10|low|8|-7.13|-7.38|carrier|late_aircraft|nas
ACT|10|medium|2|52.5|56.0|carrier|late_aircraft|nas
ACT|11|low|6|-7.5|-7.5|carrier|nas|none
ACT|11|medium|2|43.0|43.5|carrier|nas|none
ACT|12|high|1|100.0|92.0|weather|carrier|nas
ACT|12|low|6|-3.67|-2.33|weather|carrier|nas
ACT|12|medium|4|28.75|34.0|weather|carrier|nas
ACV|1|high|1|150.0|132.0|nas|late_aircraft|none
ACV|1|low|5|-3.4|-3.6|nas|late_aircraft|none
ACV|1|medium|1|47.0|28.0|nas|late_aircraft|none
ACV|2|high|4|137.75|129.5|late_aircraft|nas|carrier
ACV|2|low|15|-5.47|2.47|late_aircraft|nas|carrier
ACV|2|medium|3|39.0|53.33|late_aircraft|nas|carrier
ACV|3|high|4|363.25|363.0|carrier|late_aircraft|nas
ACV|3|low|5|-1.0|-8.4|carrier|late_aircraft|nas
ACV|3|medium|2|51.0|41.0|carrier|late_aircraft|nas
ACV|4|high|2|264.5|260.5|carrier|late_aircraft|none
ACV|4|low|9|-5.33|-9.78|carrier|late_aircraft|none
ACV|5|high|1|79.0|65.0|late_aircraft|carrier|nas
ACV|5|low|9|-3.44|-10.0|late_aircraft|carrier|nas
ACV|5|medium|1|35.0|35.0|late_aircraft|carrier|nas
ACV|6|low|5|-1.0|-1.4|nas|carrier|none
ACV|6|medium|1|35.0|19.0|nas|carrier|none
ACV|7|low|17|-5.82|-4.94|carrier|none|none
ACV|8|high|1|176.0|212.0|weather|nas|none
ACV|8|low|11|-4.18|-7.64|weather|nas|none
ACV|8|medium|1|28.0|24.0|weather|nas|none
ACV|9|high|5|466.0|463.0|weather|carrier|late_aircraft
ACV|9|low|9|-2.44|-3.67|weather|carrier|late_aircraft
ACV|9|medium|2|33.5|30.0|weather|carrier|late_aircraft
ACV|10|high|5|207.4|224.4|weather|late_aircraft|nas
ACV|10|low|7|-4.71|-7.14|weather|late_aircraft|nas
ACV|11|high|3|133.67|156.0|weather|carrier|nas
ACV|11|low|15|-6.53|-8.53|weather|carrier|nas
ACV|11|medium|2|45.5|36.5|weather|carrier|nas
ACV|12|high|1|171.0|150.0|carrier|nas|late_aircraft
ACV|12|low|13|-4.15|-2.31|carrier|nas|late_aircraft
ACY|1|low|26|-3.23|3.31|nas|late_aircraft|carrier
ACY|1|medium|3|43.67|53.33|nas|late_aircraft|carrier
ACY|2|low|27|-6.0|-12.11|late_aircraft|nas|carrier
ACY|2|medium|4|39.0|38.75|late_aircraft|nas|carrier
ACY|3|high|4|212.75|205.5|carrier|late_aircraft|nas
ACY|3|low|24|-4.96|-8.46|carrier|late_aircraft|nas
ACY|3|medium|9|33.78|28.44|carrier|late_aircraft|nas
ACY|4|low|23|-7.74|-20.65|late_aircraft|carrier|nas
ACY|4|medium|4|37.0|27.5|late_aircraft|carrier|nas
ACY|5|high|3|116.67|118.67|late_aircraft|nas|carrier
ACY|5|low|17|-4.12|-11.59|late_aircraft|nas|carrier
ACY|5|medium|6|30.83|22.83|late_aircraft|nas|carrier
