origin|month|delay_band|num_flights|avg_dep|avg_arr|top_cause_1|top_cause_2|top_cause_3
ABQ|4|medium|263|30.96|24.81|weather|late_aircraft|nas
ABQ|5|high|164|154.62|144.12|weather|late_aircraft|carrier
ABQ|5|low|1600|-1.89|-7.41|weather|late_aircraft|carrier
ABQ|5|medium|321|31.05|25.33|weather|late_aircraft|carrier
ABQ|6|high|126|147.6|143.38|weather|late_aircraft|carrier
ABQ|6|low|1620|-2.12|-7.05|weather|late_aircraft|carrier
ABQ|6|medium|310|30.53|25.6|weather|late_aircraft|carrier
ABQ|7|high|168|152.89|150.16|late_aircraft|weather|carrier
ABQ|7|low|1592|-2.1|-7.21|late_aircraft|weather|carrier
ABQ|7|medium|332|33.04|29.37|late_aircraft|weather|carrier
ABQ|8|high|125|131.06|129.1|late_aircraft|carrier|weather
ABQ|8|low|1700|-3.32|-8.25|late_aircraft|carrier|weather
ABQ|8|medium|234|30.08|27.2|late_aircraft|carrier|weather
ABQ|9|high|66|127.7|122.7|carrier|late_aircraft|nas
ABQ|9|low|1741|-3.87|-10.19|carrier|late_aircraft|nas
ABQ|9|medium|221|28.92|22.68|carrier|late_aircraft|nas
ABQ|10|high|75|141.68|137.13|security|late_aircraft|weather
ABQ|10|low|2106|-3.06|-8.11|security|late_aircraft|weather
ABQ|10|medium|212|28.51|22.9|security|late_aircraft|weather
ABQ|11|high|71|134.52|133.99|late_aircraft|weather|carrier
ABQ|11|low|1717|-3.55|-7.25|late_aircraft|weather|carrier
ABQ|11|medium|185|30.1|28.39|late_aircraft|weather|carrier
ABQ|12|high|89|158.9|158.08|weather|late_aircraft|carrier
ABQ|12|low|1690|-3.17|-9.3|weather|late_aircraft|carrier
ABQ|12|medium|223|30.12|23.94|weather|late_aircraft|carrier
ABR|1|high|5|130.8|121.4|weather|carrier|nas
ABR|1|low|47|-3.34|-14.87|weather|carrier|nas
ABR|1|medium|5|27.2|7.8|weather|carrier|nas
ABR|2|high|2|321.0|304.5|weather|carrier|none
ABR|2|low|53|-4.94|-22.42|weather|carrier|none
ABR|2|medium|3|34.0|13.67|weather|carrier|none
ABR|3|high|7|192.29|171.43|carrier|weather|none
ABR|3|low|51|-4.1|-21.47|carrier|weather|none
ABR|3|medium|3|27.0|11.67|carrier|weather|none
ABR|4|high|3|365.67|344.0|carrier|weather|none
ABR|4|low|56|-5.18|-16.05|carrier|weather|none
ABR|4|medium|1|18.0|-4.0|carrier|weather|none
ABR|5|high|6|140.5|130.67|carrier|weather|nas
ABR|5|low|53|-4.53|-10.7|carrier|weather|nas
ABR|5|medium|3|39.33|36.0|carrier|weather|nas
ABR|6|high|7|307.57|308.71|carrier|weather|nas
ABR|6|low|42|-3.38|1.38|carrier|weather|nas
ABR|6|medium|11|37.82|49.55|carrier|weather|nas
ABR|7|high|7|132.29|138.29|carrier|weather|nas
ABR|7|low|49|-1.86|-10.18|carrier|weather|nas
ABR|7|medium|6|35.67|32.67|carrier|weather|nas
ABR|8|high|6|235.17|249.33|carrier|weather|nas
ABR|8|low|50|-3.28|-8.62|carrier|weather|nas
ABR|8|medium|6|24.5|35.33|carrier|weather|nas
ABR|9|high|3|140.33|132.33|carrier|none|none
ABR|9|low|57|-5.35|-16.53|carrier|none|none
ABR|10|high|6|193.5|182.33|carrier|weather|nas
ABR|10|low|50|-4.54|-16.44|carrier|weather|nas
ABR|10|medium|6|42.5|29.67|carrier|weather|nas
ABR|11|high|3|106.0|90.0|carrier|none|none
ABR|11|low|51|-4.59|-11.45|carrier|none|none
ABR|11|medium|5|25.8|17.2|carrier|none|none
ABR|12|high|10|356.8|348.1|carrier|weather|nas
ABR|12|low|41|-4.32|-8.1|carrier|weather|nas
ABR|12|medium|8|34.12|25.5|carrier|weather|nas
ABY|1|high|7|304.86|294.14|carrier|weather|nas
ABY|1|low|50|-4.44|-10.1|carrier|weather|nas
ABY|1|medium|5|26.6|18.6|carrier|weather|nas
ABY|2|high|6|199.33|194.83|carrier|weather|nas
ABY|2|low|45|-5.71|-7.69|carrier|weather|nas
ABY|2|medium|7|27.71|15.57|carrier|weather|nas
ABY|3|high|4|140.5|131.0|carrier|weather|none
ABY|3|low|56|-5.43|-9.23|carrier|weather|none
ABY|3|medium|2|43.0|39.0|carrier|weather|none
ABY|4|high|4|130.25|137.0|carrier|weather|nas
ABY|4|low|49|-6.27|-3.1|carrier|weather|nas
ABY|4|medium|7|35.43|39.0|carrier|weather|nas
ABY|5|high|8|118.75|115.5|weather|carrier|nas
ABY|5|low|47|-6.02|-3.6|weather|carrier|nas
